ID_REF	VALUE
ENSG00000212278_st	0.52
ENSG00000212279_st	0.57
ENSG00000212284_st	1.16
ENSG00000212284_x_st	0.62
ENSG00000212293_st	1.29
ENSG00000212295_st	0.60
ENSG00000212295_x_st	0.62
ENSG00000212300_st	0.81
ENSG00000212302_st	0.66
ENSG00000212302_x_st	1.01
ENSG00000212309_st	1.56
ENSG00000212309_x_st	1.71
ENSG00000212321_st	1.88
ENSG00000212338_st	0.51
ENSG00000212338_x_st	1.01
ENSG00000212342_st	0.58
ENSG00000212342_x_st	0.79
ENSG00000212347_x_st	0.60
ENSG00000212363_st	0.61
ENSG00000212363_x_st	0.99
ENSG00000212367_st	0.77
ENSG00000212371_st	0.33
ENSG00000212377_st	0.47
ENSG00000212378_s_st	0.47
ENSG00000212378_st	0.70
ENSG00000212378_x_st	0.56
ENSG00000212380_st	0.24
ENSG00000212380_x_st	0.80
ENSG00000212383_st	0.56
ENSG00000212383_x_st	0.51
ENSG00000212391_st	0.69
ENSG00000212395_st	0.81
ENSG00000212395_x_st	0.57
ENSG00000212397_st	1.70
ENSG00000212411_st	0.91
ENSG00000212411_x_st	0.65
ENSG00000212414_st	0.41
ENSG00000212414_x_st	0.48
ENSG00000212415_st	0.24
ENSG00000212415_x_st	0.40
ENSG00000212421_st	0.54
ENSG00000212422_st	0.81
ENSG00000212428_st	0.66
ENSG00000212428_x_st	0.51
ENSG00000212432_s_st	1.00
ENSG00000212434_st	1.14
ENSG00000212440_s_st	0.82
ENSG00000212445_st	1.94
ENSG00000212455_st	0.76
ENSG00000212455_x_st	0.75
ENSG00000212458_st	1.02
ENSG00000212458_x_st	0.92
ENSG00000212461_st	1.34
ENSG00000212461_x_st	0.62
ENSG00000212479_st	1.63
ENSG00000212490_st	0.86
ENSG00000212490_x_st	1.15
ENSG00000212502_st	0.45
ENSG00000212502_x_st	0.94
ENSG00000212511_st	0.78
ENSG00000212517_st	0.72
ENSG00000212517_x_st	0.63
ENSG00000212528_st	0.52
ENSG00000212529_st	0.82
ENSG00000212532_st	0.71
ENSG00000212532_x_st	0.80
ENSG00000212533_s_st	1.52
ENSG00000212538_st	1.27
ENSG00000212539_st	1.37
ENSG00000212551_st	0.57
ENSG00000212553_st	0.95
ENSG00000212553_x_st	1.17
ENSG00000212558_st	0.64
ENSG00000212558_x_st	1.01
ENSG00000212565_st	0.46
ENSG00000212567_st	0.94
ENSG00000212579_x_st	1.84
ENSG00000212580_st	1.34
ENSG00000212581_st	0.73
ENSG00000212586_st	1.06
ENSG00000212586_x_st	0.90
ENSG00000212587_st	1.03
ENSG00000212589_st	0.88
ENSG00000212589_x_st	1.32
ENSG00000212590_st	1.06
ENSG00000212590_x_st	0.94
ENSG00000212593_st	1.32
ENSG00000212593_x_st	0.23
ENSG00000212594_st	0.35
ENSG00000212598_st	0.34
ENSG00000212604_st	0.34
ENSG00000212604_x_st	1.14
ENSG00000212608_st	0.78
ENSG00000212608_x_st	0.60
ENSG00000212610_st	0.80
ENSG00000212611_st	0.61
ENSG00000212611_x_st	0.35
ENSG00000212615_x_st	1.96
ENSG00000212618_st	0.37
ENSG00000212620_st	0.61
ENSG00000212624_st	0.60
ENSG00000212624_x_st	0.46
ENSG00000212626_st	0.61
ENSG00000212626_x_st	0.68
ENSG00000220986_st	0.95
ENSG00000221040_st	0.59
ENSG00000221043_st	1.19
ENSG00000221044_st	1.00
ENSG00000221060_st	0.56
ENSG00000221060_x_st	1.14
ENSG00000221083_st	0.44
ENSG00000221090_st	0.88
ENSG00000221093_st	1.21
ENSG00000221125_st	0.89
ENSG00000221139_st	0.92
ENSG00000221148_st	0.60
ENSG00000221148_x_st	0.78
ENSG00000221164_st	1.01
ENSG00000221164_x_st	1.05
ENSG00000221245_st	1.50
ENSG00000221245_x_st	0.95
ENSG00000221252_st	1.76
ENSG00000221300_st	1.00
ENSG00000221300_x_st	1.12
ENSG00000221332_st	0.41
ENSG00000221345_st	0.68
ENSG00000221376_st	0.33
ENSG00000221376_x_st	0.36
ENSG00000221398_st	0.79
ENSG00000221400_st	0.43
ENSG00000221455_st	0.57
ENSG00000221461_st	0.78
ENSG00000221496_st	0.65
ENSG00000221498_st	1.72
ENSG00000221611_st	0.43
ENSG00000221611_x_st	0.33
ENSG00000221633_st	0.66
ENSG00000221638_st	0.64
ENSG00000221639_st	0.64
ENSG00000221639_x_st	1.14
ENSG00000221673_st	0.57
ENSG00000221711_st	0.44
ENSG00000221711_x_st	0.70
ENSG00000221719_st	0.43
ENSG00000221719_x_st	0.37
ENSG00000221750_st	1.66
ENSG00000222095_st	0.78
ENSG00000222145_st	0.28
ENSG00000222185_st	0.35
ENSG00000222345_st	0.46
ENSG00000222345_x_st	0.68
ENSG00000222489_st	1.03
ENSG00000222588_s_st	1.08
